"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"A5031","Late congenital syphilitic interstitial keratitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5032","Late congenital syphilitic chorioretinitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5039","Other late congenital syphilitic oculopathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5040","Late congenital neurosyphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5041","Late congenital syphilitic meningitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5042","Late congenital syphilitic encephalitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5043","Late congenital syphilitic polyneuropathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5044","Late congenital syphilitic optic nerve atrophy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5045","Juvenile general paresis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5049","Other late congenital neurosyphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5051","Clutton's joints",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5052","Hutchinson's teeth",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5053","Hutchinson's triad",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5054","Late congenital cardiovascular syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5055","Late congenital syphilitic arthropathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5056","Late congenital syphilitic osteochondropathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5057","Syphilitic saddle nose",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5059","Other late congenital syphilis, symptomatic",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A506","Late congenital syphilis, latent",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A507","Late congenital syphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A509","Congenital syphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A510","Primary genital syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A511","Primary anal syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A512","Primary syphilis of other sites",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5131","Condyloma latum",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5132","Syphilitic alopecia",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5139","Other secondary syphilis of skin",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5141","Secondary syphilitic meningitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5142","Secondary syphilitic female pelvic disease",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5143","Secondary syphilitic oculopathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5144","Secondary syphilitic nephritis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5145","Secondary syphilitic hepatitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5146","Secondary syphilitic osteopathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5149","Other secondary syphilitic conditions",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A515","Early syphilis, latent",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A519","Early syphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5200","Cardiovascular syphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5201","Syphilitic aneurysm of aorta",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5202","Syphilitic aortitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5203","Syphilitic endocarditis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5204","Syphilitic cerebral arteritis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5205","Other cerebrovascular syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5206","Other syphilitic heart involvement",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5209","Other cardiovascular syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5210","Symptomatic neurosyphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5211","Tabes dorsalis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5212","Other cerebrospinal syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5213","Late syphilitic meningitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5214","Late syphilitic encephalitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5215","Late syphilitic neuropathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5216","Charcot's arthropathy (tabetic)",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5217","General paresis",9,"Sexually transmitted infections (not HIV or hepatitis)"
