"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"T39096S","Underdosing of salicylates, sequela",244,"Other injuries and conditions due to external causes"
"T391X1A","Poisoning by 4-Aminophenol derivatives, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T391X1D","Poisoning by 4-Aminophenol derivatives, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T391X1S","Poisoning by 4-Aminophenol derivatives, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T391X2A","Poisoning by 4-Aminophenol derivatives, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T391X2D","Poisoning by 4-Aminophenol derivatives, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T391X2S","Poisoning by 4-Aminophenol derivatives, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T391X3A","Poisoning by 4-Aminophenol derivatives, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T391X3D","Poisoning by 4-Aminophenol derivatives, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T391X3S","Poisoning by 4-Aminophenol derivatives, assault, sequela",242,"Poisoning by other medications and drugs"
"T391X4A","Poisoning by 4-Aminophenol derivatives, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T391X4D","Poisoning by 4-Aminophenol derivatives, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T391X4S","Poisoning by 4-Aminophenol derivatives, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T391X5A","Adverse effect of 4-Aminophenol derivatives, initial encounter",2617,"Adverse effects of medical drugs"
"T391X5D","Adverse effect of 4-Aminophenol derivatives, subsequent encounter",2617,"Adverse effects of medical drugs"
"T391X5S","Adverse effect of 4-Aminophenol derivatives, sequela",2617,"Adverse effects of medical drugs"
"T391X6A","Underdosing of 4-Aminophenol derivatives, initial encounter",244,"Other injuries and conditions due to external causes"
"T391X6D","Underdosing of 4-Aminophenol derivatives, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T391X6S","Underdosing of 4-Aminophenol derivatives, sequela",244,"Other injuries and conditions due to external causes"
"T392X1A","Poisoning by pyrazolone derivatives, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T392X1D","Poisoning by pyrazolone derivatives, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T392X1S","Poisoning by pyrazolone derivatives, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T392X2A","Poisoning by pyrazolone derivatives, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T392X2D","Poisoning by pyrazolone derivatives, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T392X2S","Poisoning by pyrazolone derivatives, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T392X3A","Poisoning by pyrazolone derivatives, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T392X3D","Poisoning by pyrazolone derivatives, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T392X3S","Poisoning by pyrazolone derivatives, assault, sequela",242,"Poisoning by other medications and drugs"
"T392X4A","Poisoning by pyrazolone derivatives, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T392X4D","Poisoning by pyrazolone derivatives, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T392X4S","Poisoning by pyrazolone derivatives, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T392X5A","Adverse effect of pyrazolone derivatives, initial encounter",2617,"Adverse effects of medical drugs"
"T392X5D","Adverse effect of pyrazolone derivatives, subsequent encounter",2617,"Adverse effects of medical drugs"
"T392X5S","Adverse effect of pyrazolone derivatives, sequela",2617,"Adverse effects of medical drugs"
"T392X6A","Underdosing of pyrazolone derivatives, initial encounter",244,"Other injuries and conditions due to external causes"
"T392X6D","Underdosing of pyrazolone derivatives, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T392X6S","Underdosing of pyrazolone derivatives, sequela",244,"Other injuries and conditions due to external causes"
"T39311A","Poisoning by propionic acid derivatives, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T39311D","Poisoning by propionic acid derivatives, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T39311S","Poisoning by propionic acid derivatives, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T39312A","Poisoning by propionic acid derivatives, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T39312D","Poisoning by propionic acid derivatives, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T39312S","Poisoning by propionic acid derivatives, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T39313A","Poisoning by propionic acid derivatives, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T39313D","Poisoning by propionic acid derivatives, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T39313S","Poisoning by propionic acid derivatives, assault, sequela",242,"Poisoning by other medications and drugs"
"T39314A","Poisoning by propionic acid derivatives, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T39314D","Poisoning by propionic acid derivatives, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T39314S","Poisoning by propionic acid derivatives, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T39315A","Adverse effect of propionic acid derivatives, initial encounter",2617,"Adverse effects of medical drugs"
"T39315D","Adverse effect of propionic acid derivatives, subsequent encounter",2617,"Adverse effects of medical drugs"
"T39315S","Adverse effect of propionic acid derivatives, sequela",2617,"Adverse effects of medical drugs"
"T39316A","Underdosing of propionic acid derivatives, initial encounter",244,"Other injuries and conditions due to external causes"
"T39316D","Underdosing of propionic acid derivatives, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T39316S","Underdosing of propionic acid derivatives, sequela",244,"Other injuries and conditions due to external causes"
"T39391A","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T39391D","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T39391S","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T39392A","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T39392D","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T39392S","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T39393A","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], assault, initial encounter",242,"Poisoning by other medications and drugs"
"T39393D","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T39393S","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], assault, sequela",242,"Poisoning by other medications and drugs"
"T39394A","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T39394D","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T39394S","Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID], undetermined, sequela",242,"Poisoning by other medications and drugs"
"T39395A","Adverse effect of other nonsteroidal anti-inflammatory drugs [NSAID], initial encounter",2617,"Adverse effects of medical drugs"
"T39395D","Adverse effect of other nonsteroidal anti-inflammatory drugs [NSAID], subsequent encounter",2617,"Adverse effects of medical drugs"
"T39395S","Adverse effect of other nonsteroidal anti-inflammatory drugs [NSAID], sequela",2617,"Adverse effects of medical drugs"
"T39396A","Underdosing of other nonsteroidal anti-inflammatory drugs [NSAID], initial encounter",244,"Other injuries and conditions due to external causes"
"T39396D","Underdosing of other nonsteroidal anti-inflammatory drugs [NSAID], subsequent encounter",244,"Other injuries and conditions due to external causes"
"T39396S","Underdosing of other nonsteroidal anti-inflammatory drugs [NSAID], sequela",244,"Other injuries and conditions due to external causes"
"T394X1A","Poisoning by antirheumatics, not elsewhere classified, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T394X1D","Poisoning by antirheumatics, not elsewhere classified, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T394X1S","Poisoning by antirheumatics, not elsewhere classified, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T394X2A","Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T394X2D","Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T394X2S","Poisoning by antirheumatics, not elsewhere classified, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T394X3A","Poisoning by antirheumatics, not elsewhere classified, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T394X3D","Poisoning by antirheumatics, not elsewhere classified, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T394X3S","Poisoning by antirheumatics, not elsewhere classified, assault, sequela",242,"Poisoning by other medications and drugs"
"T394X4A","Poisoning by antirheumatics, not elsewhere classified, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T394X4D","Poisoning by antirheumatics, not elsewhere classified, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T394X4S","Poisoning by antirheumatics, not elsewhere classified, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T394X5A","Adverse effect of antirheumatics, not elsewhere classified, initial encounter",2617,"Adverse effects of medical drugs"
"T394X5D","Adverse effect of antirheumatics, not elsewhere classified, subsequent encounter",2617,"Adverse effects of medical drugs"
"T394X5S","Adverse effect of antirheumatics, not elsewhere classified, sequela",2617,"Adverse effects of medical drugs"
"T394X6A","Underdosing of antirheumatics, not elsewhere classified, initial encounter",244,"Other injuries and conditions due to external causes"
"T394X6D","Underdosing of antirheumatics, not elsewhere classified, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T394X6S","Underdosing of antirheumatics, not elsewhere classified, sequela",244,"Other injuries and conditions due to external causes"
"T398X1A","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T398X1D","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T398X1S","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T398X2A","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T398X2D","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T398X2S","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T398X3A","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T398X3D","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T398X3S","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, assault, sequela",242,"Poisoning by other medications and drugs"
"T398X4A","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T398X4D","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T398X4S","Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T398X5A","Adverse effect of other nonopioid analgesics and antipyretics, not elsewhere classified, initial encounter",2617,"Adverse effects of medical drugs"
"T398X5D","Adverse effect of other nonopioid analgesics and antipyretics, not elsewhere classified, subsequent encounter",2617,"Adverse effects of medical drugs"
"T398X5S","Adverse effect of other nonopioid analgesics and antipyretics, not elsewhere classified, sequela",2617,"Adverse effects of medical drugs"
"T398X6A","Underdosing of other nonopioid analgesics and antipyretics, not elsewhere classified, initial encounter",244,"Other injuries and conditions due to external causes"
"T398X6D","Underdosing of other nonopioid analgesics and antipyretics, not elsewhere classified, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T398X6S","Underdosing of other nonopioid analgesics and antipyretics, not elsewhere classified, sequela",244,"Other injuries and conditions due to external causes"
"T3991XA","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T3991XD","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T3991XS","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T3992XA","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T3992XD","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T3992XS","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T3993XA","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T3993XD","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T3993XS","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, assault, sequela",242,"Poisoning by other medications and drugs"
"T3994XA","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T3994XD","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T3994XS","Poisoning by unspecified nonopioid analgesic, antipyretic and antirheumatic, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T3995XA","Adverse effect of unspecified nonopioid analgesic, antipyretic and antirheumatic, initial encounter",2617,"Adverse effects of medical drugs"
"T3995XD","Adverse effect of unspecified nonopioid analgesic, antipyretic and antirheumatic, subsequent encounter",2617,"Adverse effects of medical drugs"
"T3995XS","Adverse effect of unspecified nonopioid analgesic, antipyretic and antirheumatic, sequela",2617,"Adverse effects of medical drugs"
"T3996XA","Underdosing of unspecified nonopioid analgesic, antipyretic and antirheumatic, initial encounter",244,"Other injuries and conditions due to external causes"
"T3996XD","Underdosing of unspecified nonopioid analgesic, antipyretic and antirheumatic, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T3996XS","Underdosing of unspecified nonopioid analgesic, antipyretic and antirheumatic, sequela",244,"Other injuries and conditions due to external causes"
"T400X1A","Poisoning by opium, accidental (unintentional), initial encounter",661,"Substance-related disorders"
"T400X1D","Poisoning by opium, accidental (unintentional), subsequent encounter",661,"Substance-related disorders"
"T400X1S","Poisoning by opium, accidental (unintentional), sequela",661,"Substance-related disorders"
"T400X2A","Poisoning by opium, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T400X2D","Poisoning by opium, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T400X2S","Poisoning by opium, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T400X3A","Poisoning by opium, assault, initial encounter",661,"Substance-related disorders"
"T400X3D","Poisoning by opium, assault, subsequent encounter",661,"Substance-related disorders"
"T400X3S","Poisoning by opium, assault, sequela",661,"Substance-related disorders"
"T400X4A","Poisoning by opium, undetermined, initial encounter",661,"Substance-related disorders"
"T400X4D","Poisoning by opium, undetermined, subsequent encounter",661,"Substance-related disorders"
"T400X4S","Poisoning by opium, undetermined, sequela",661,"Substance-related disorders"
"T400X5A","Adverse effect of opium, initial encounter",661,"Substance-related disorders"
"T400X5D","Adverse effect of opium, subsequent encounter",661,"Substance-related disorders"
"T400X5S","Adverse effect of opium, sequela",661,"Substance-related disorders"
"T400X6A","Underdosing of opium, initial encounter",661,"Substance-related disorders"
"T400X6D","Underdosing of opium, subsequent encounter",661,"Substance-related disorders"
"T400X6S","Underdosing of opium, sequela",661,"Substance-related disorders"
"T401X1A","Poisoning by heroin, accidental (unintentional), initial encounter",661,"Substance-related disorders"
"T401X1D","Poisoning by heroin, accidental (unintentional), subsequent encounter",661,"Substance-related disorders"
"T401X1S","Poisoning by heroin, accidental (unintentional), sequela",661,"Substance-related disorders"
"T401X2A","Poisoning by heroin, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T401X2D","Poisoning by heroin, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T401X2S","Poisoning by heroin, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T401X3A","Poisoning by heroin, assault, initial encounter",661,"Substance-related disorders"
"T401X3D","Poisoning by heroin, assault, subsequent encounter",661,"Substance-related disorders"
"T401X3S","Poisoning by heroin, assault, sequela",661,"Substance-related disorders"
"T401X4A","Poisoning by heroin, undetermined, initial encounter",661,"Substance-related disorders"
"T401X4D","Poisoning by heroin, undetermined, subsequent encounter",661,"Substance-related disorders"
"T401X4S","Poisoning by heroin, undetermined, sequela",661,"Substance-related disorders"
"T401X5A","Adverse effect of heroin, initial encounter",661,"Substance-related disorders"
"T401X5D","Adverse effect of heroin, subsequent encounter",661,"Substance-related disorders"
"T401X5S","Adverse effect of heroin, sequela",661,"Substance-related disorders"
"T402X1A","Poisoning by other opioids, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T402X1D","Poisoning by other opioids, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T402X1S","Poisoning by other opioids, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T402X2A","Poisoning by other opioids, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T402X2D","Poisoning by other opioids, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T402X2S","Poisoning by other opioids, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T402X3A","Poisoning by other opioids, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T402X3D","Poisoning by other opioids, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T402X3S","Poisoning by other opioids, assault, sequela",242,"Poisoning by other medications and drugs"
"T402X4A","Poisoning by other opioids, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T402X4D","Poisoning by other opioids, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T402X4S","Poisoning by other opioids, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T402X5A","Adverse effect of other opioids, initial encounter",2617,"Adverse effects of medical drugs"
"T402X5D","Adverse effect of other opioids, subsequent encounter",2617,"Adverse effects of medical drugs"
"T402X5S","Adverse effect of other opioids, sequela",2617,"Adverse effects of medical drugs"
"T402X6A","Underdosing of other opioids, initial encounter",244,"Other injuries and conditions due to external causes"
"T402X6D","Underdosing of other opioids, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T402X6S","Underdosing of other opioids, sequela",244,"Other injuries and conditions due to external causes"
"T403X1A","Poisoning by methadone, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T403X1D","Poisoning by methadone, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T403X1S","Poisoning by methadone, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T403X2A","Poisoning by methadone, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T403X2D","Poisoning by methadone, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T403X2S","Poisoning by methadone, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T403X3A","Poisoning by methadone, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T403X3D","Poisoning by methadone, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T403X3S","Poisoning by methadone, assault, sequela",242,"Poisoning by other medications and drugs"
"T403X4A","Poisoning by methadone, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T403X4D","Poisoning by methadone, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T403X4S","Poisoning by methadone, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T403X5A","Adverse effect of methadone, initial encounter",2617,"Adverse effects of medical drugs"
"T403X5D","Adverse effect of methadone, subsequent encounter",2617,"Adverse effects of medical drugs"
"T403X5S","Adverse effect of methadone, sequela",2617,"Adverse effects of medical drugs"
"T403X6A","Underdosing of methadone, initial encounter",244,"Other injuries and conditions due to external causes"
"T403X6D","Underdosing of methadone, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T403X6S","Underdosing of methadone, sequela",244,"Other injuries and conditions due to external causes"
"T404X1A","Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T404X1D","Poisoning by other synthetic narcotics, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T404X1S","Poisoning by other synthetic narcotics, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T404X2A","Poisoning by other synthetic narcotics, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T404X2D","Poisoning by other synthetic narcotics, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T404X2S","Poisoning by other synthetic narcotics, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T404X3A","Poisoning by other synthetic narcotics, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T404X3D","Poisoning by other synthetic narcotics, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T404X3S","Poisoning by other synthetic narcotics, assault, sequela",242,"Poisoning by other medications and drugs"
"T404X4A","Poisoning by other synthetic narcotics, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T404X4D","Poisoning by other synthetic narcotics, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T404X4S","Poisoning by other synthetic narcotics, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T404X5A","Adverse effect of other synthetic narcotics, initial encounter",2617,"Adverse effects of medical drugs"
"T404X5D","Adverse effect of other synthetic narcotics, subsequent encounter",2617,"Adverse effects of medical drugs"
"T404X5S","Adverse effect of other synthetic narcotics, sequela",2617,"Adverse effects of medical drugs"
"T404X6A","Underdosing of other synthetic narcotics, initial encounter",244,"Other injuries and conditions due to external causes"
"T404X6D","Underdosing of other synthetic narcotics, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T404X6S","Underdosing of other synthetic narcotics, sequela",244,"Other injuries and conditions due to external causes"
"T405X1A","Poisoning by cocaine, accidental (unintentional), initial encounter",661,"Substance-related disorders"
"T405X1D","Poisoning by cocaine, accidental (unintentional), subsequent encounter",661,"Substance-related disorders"
"T405X1S","Poisoning by cocaine, accidental (unintentional), sequela",661,"Substance-related disorders"
"T405X2A","Poisoning by cocaine, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T405X2D","Poisoning by cocaine, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T405X2S","Poisoning by cocaine, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T405X3A","Poisoning by cocaine, assault, initial encounter",661,"Substance-related disorders"
"T405X3D","Poisoning by cocaine, assault, subsequent encounter",661,"Substance-related disorders"
"T405X3S","Poisoning by cocaine, assault, sequela",661,"Substance-related disorders"
"T405X4A","Poisoning by cocaine, undetermined, initial encounter",661,"Substance-related disorders"
"T405X4D","Poisoning by cocaine, undetermined, subsequent encounter",661,"Substance-related disorders"
"T405X4S","Poisoning by cocaine, undetermined, sequela",661,"Substance-related disorders"
"T405X5A","Adverse effect of cocaine, initial encounter",661,"Substance-related disorders"
"T405X5D","Adverse effect of cocaine, subsequent encounter",661,"Substance-related disorders"
"T405X5S","Adverse effect of cocaine, sequela",661,"Substance-related disorders"
"T405X6A","Underdosing of cocaine, initial encounter",661,"Substance-related disorders"
"T405X6D","Underdosing of cocaine, subsequent encounter",661,"Substance-related disorders"
"T405X6S","Underdosing of cocaine, sequela",661,"Substance-related disorders"
"T40601A","Poisoning by unspecified narcotics, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T40601D","Poisoning by unspecified narcotics, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T40601S","Poisoning by unspecified narcotics, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T40602A","Poisoning by unspecified narcotics, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T40602D","Poisoning by unspecified narcotics, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T40602S","Poisoning by unspecified narcotics, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T40603A","Poisoning by unspecified narcotics, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T40603D","Poisoning by unspecified narcotics, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T40603S","Poisoning by unspecified narcotics, assault, sequela",242,"Poisoning by other medications and drugs"
"T40604A","Poisoning by unspecified narcotics, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T40604D","Poisoning by unspecified narcotics, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T40604S","Poisoning by unspecified narcotics, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T40605A","Adverse effect of unspecified narcotics, initial encounter",2617,"Adverse effects of medical drugs"
"T40605D","Adverse effect of unspecified narcotics, subsequent encounter",2617,"Adverse effects of medical drugs"
"T40605S","Adverse effect of unspecified narcotics, sequela",2617,"Adverse effects of medical drugs"
"T40606A","Underdosing of unspecified narcotics, initial encounter",244,"Other injuries and conditions due to external causes"
"T40606D","Underdosing of unspecified narcotics, subsequent encounter",244,"Other injuries and conditions due to external causes"
"T40606S","Underdosing of unspecified narcotics, sequela",244,"Other injuries and conditions due to external causes"
"T40691A","Poisoning by other narcotics, accidental (unintentional), initial encounter",242,"Poisoning by other medications and drugs"
"T40691D","Poisoning by other narcotics, accidental (unintentional), subsequent encounter",242,"Poisoning by other medications and drugs"
"T40691S","Poisoning by other narcotics, accidental (unintentional), sequela",242,"Poisoning by other medications and drugs"
"T40692A","Poisoning by other narcotics, intentional self-harm, initial encounter",662,"Suicide and intentional self-inflicted injury"
"T40692D","Poisoning by other narcotics, intentional self-harm, subsequent encounter",662,"Suicide and intentional self-inflicted injury"
"T40692S","Poisoning by other narcotics, intentional self-harm, sequela",662,"Suicide and intentional self-inflicted injury"
"T40693A","Poisoning by other narcotics, assault, initial encounter",242,"Poisoning by other medications and drugs"
"T40693D","Poisoning by other narcotics, assault, subsequent encounter",242,"Poisoning by other medications and drugs"
"T40693S","Poisoning by other narcotics, assault, sequela",242,"Poisoning by other medications and drugs"
"T40694A","Poisoning by other narcotics, undetermined, initial encounter",242,"Poisoning by other medications and drugs"
"T40694D","Poisoning by other narcotics, undetermined, subsequent encounter",242,"Poisoning by other medications and drugs"
"T40694S","Poisoning by other narcotics, undetermined, sequela",242,"Poisoning by other medications and drugs"
"T40695A","Adverse effect of other narcotics, initial encounter",2617,"Adverse effects of medical drugs"
"T40695D","Adverse effect of other narcotics, subsequent encounter",2617,"Adverse effects of medical drugs"
