"icd_10_cm","valid_flag","short_description","long_description"
"H832X1",1,"Labyrinthine dysfunction, right ear","Labyrinthine dysfunction, right ear"
"H832X2",1,"Labyrinthine dysfunction, left ear","Labyrinthine dysfunction, left ear"
"H832X3",1,"Labyrinthine dysfunction, bilateral","Labyrinthine dysfunction, bilateral"
"H832X9",1,"Labyrinthine dysfunction, unspecified ear","Labyrinthine dysfunction, unspecified ear"
"H833",0,"Noise effects on inner ear","Noise effects on inner ear"
"H833X",0,"Noise effects on inner ear","Noise effects on inner ear"
"H833X1",1,"Noise effects on right inner ear","Noise effects on right inner ear"
"H833X2",1,"Noise effects on left inner ear","Noise effects on left inner ear"
"H833X3",1,"Noise effects on inner ear, bilateral","Noise effects on inner ear, bilateral"
"H833X9",1,"Noise effects on inner ear, unspecified ear","Noise effects on inner ear, unspecified ear"
"H838",0,"Other specified diseases of inner ear","Other specified diseases of inner ear"
"H838X",0,"Other specified diseases of inner ear","Other specified diseases of inner ear"
"H838X1",1,"Other specified diseases of right inner ear","Other specified diseases of right inner ear"
"H838X2",1,"Other specified diseases of left inner ear","Other specified diseases of left inner ear"
"H838X3",1,"Other specified diseases of inner ear, bilateral","Other specified diseases of inner ear, bilateral"
"H838X9",1,"Other specified diseases of inner ear, unspecified ear","Other specified diseases of inner ear, unspecified ear"
"H839",0,"Unspecified disease of inner ear","Unspecified disease of inner ear"
"H8390",1,"Unspecified disease of inner ear, unspecified ear","Unspecified disease of inner ear, unspecified ear"
"H8391",1,"Unspecified disease of right inner ear","Unspecified disease of right inner ear"
"H8392",1,"Unspecified disease of left inner ear","Unspecified disease of left inner ear"
"H8393",1,"Unspecified disease of inner ear, bilateral","Unspecified disease of inner ear, bilateral"
"H90",0,"Conductive and sensorineural hearing loss","Conductive and sensorineural hearing loss"
"H900",1,"Conductive hearing loss, bilateral","Conductive hearing loss, bilateral"
"H901",0,"Conductive hear loss, uni w unrestricted hear cntra side","Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side"
"H9011",1,"Condctv hear loss, uni, right ear, w unrestr hear cntra side","Conductive hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
"H9012",1,"Condctv hear loss, uni, left ear, w unrestr hear cntra side","Conductive hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side"
"H902",1,"Conductive hearing loss, unspecified","Conductive hearing loss, unspecified"
"H903",1,"Sensorineural hearing loss, bilateral","Sensorineural hearing loss, bilateral"
"H904",0,"Sensorineural hear loss, uni w unrestricted hear cntra side","Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
"H9041",1,"Snsrnrl hear loss, uni, right ear, w unrestr hear cntra side","Sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
"H9042",1,"Snsrnrl hear loss, uni, left ear, w unrestr hear cntra side","Sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side"
"H905",1,"Unspecified sensorineural hearing loss","Unspecified sensorineural hearing loss"
"H906",1,"Mixed conductive and sensorineural hearing loss, bilateral","Mixed conductive and sensorineural hearing loss, bilateral"
"H907",0,"Mixed cndct/snrl hear loss, uni w unrestr hear cntra side","Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
"H9071",1,"Mix cndct/snrl hear loss,uni,r ear,w unrestr hear cntra side","Mixed conductive and sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
"H9072",1,"Mix cndct/snrl hear loss,uni,l ear,w unrestr hear cntra side","Mixed conductive and sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side"
"H908",1,"Mixed conductive and sensorineural hearing loss, unspecified","Mixed conductive and sensorineural hearing loss, unspecified"
"H90A",0,"Cndct/snrl hearing loss with restricted hear cntra side","Conductive and sensorineural hearing loss with restricted hearing on the contralateral side"
"H90A1",0,"Conductive hear loss, uni, with restricted hear cntra side","Conductive hearing loss, unilateral, with restricted hearing on the contralateral side"
"H90A11",1,"Condctv hear loss, uni, r ear with rstrcd hear cntra side","Conductive hearing loss, unilateral, right ear with restricted hearing on the contralateral side"
"H90A12",1,"Condctv hear loss, uni, left ear with rstrcd hear cntra side","Conductive hearing loss, unilateral, left ear with restricted hearing on the contralateral side"
"H90A2",0,"Snsrnrl hear loss, uni, with restricted hear cntra side","Sensorineural hearing loss, unilateral, with restricted hearing on the contralateral side"
"H90A21",1,"Snsrnrl hear loss, uni, r ear, with rstrcd hear cntra side","Sensorineural hearing loss, unilateral, right ear, with restricted hearing on the contralateral side"
"H90A22",1,"Snsrnrl hear loss, uni, l ear, with rstrcd hear cntra side","Sensorineural hearing loss, unilateral, left ear, with restricted hearing on the contralateral side"
"H90A3",0,"Mixed cndct/snrl hear loss, uni with rstrcd hear cntra side","Mixed conductive and sensorineural hearing loss, unilateral with restricted hearing on the contralateral side"
"H90A31",1,"Mix cndct/snrl hear loss,uni,r ear w rstrcd hear cntra side","Mixed conductive and sensorineural hearing loss, unilateral, right ear with restricted hearing on the contralateral side"
"H90A32",1,"Mix cndct/snrl hear loss,uni,l ear w rstrcd hear cntra side","Mixed conductive and sensorineural hearing loss, unilateral, left ear with restricted hearing on the contralateral side"
"H91",0,"Other and unspecified hearing loss","Other and unspecified hearing loss"
"H910",0,"Ototoxic hearing loss","Ototoxic hearing loss"
"H9101",1,"Ototoxic hearing loss, right ear","Ototoxic hearing loss, right ear"
"H9102",1,"Ototoxic hearing loss, left ear","Ototoxic hearing loss, left ear"
"H9103",1,"Ototoxic hearing loss, bilateral","Ototoxic hearing loss, bilateral"
"H9109",1,"Ototoxic hearing loss, unspecified ear","Ototoxic hearing loss, unspecified ear"
"H911",0,"Presbycusis","Presbycusis"
"H9110",1,"Presbycusis, unspecified ear","Presbycusis, unspecified ear"
"H9111",1,"Presbycusis, right ear","Presbycusis, right ear"
"H9112",1,"Presbycusis, left ear","Presbycusis, left ear"
"H9113",1,"Presbycusis, bilateral","Presbycusis, bilateral"
"H912",0,"Sudden idiopathic hearing loss","Sudden idiopathic hearing loss"
"H9120",1,"Sudden idiopathic hearing loss, unspecified ear","Sudden idiopathic hearing loss, unspecified ear"
"H9121",1,"Sudden idiopathic hearing loss, right ear","Sudden idiopathic hearing loss, right ear"
"H9122",1,"Sudden idiopathic hearing loss, left ear","Sudden idiopathic hearing loss, left ear"
"H9123",1,"Sudden idiopathic hearing loss, bilateral","Sudden idiopathic hearing loss, bilateral"
"H913",1,"Deaf nonspeaking, not elsewhere classified","Deaf nonspeaking, not elsewhere classified"
"H918",0,"Other specified hearing loss","Other specified hearing loss"
"H918X",0,"Other specified hearing loss","Other specified hearing loss"
"H918X1",1,"Other specified hearing loss, right ear","Other specified hearing loss, right ear"
"H918X2",1,"Other specified hearing loss, left ear","Other specified hearing loss, left ear"
"H918X3",1,"Other specified hearing loss, bilateral","Other specified hearing loss, bilateral"
"H918X9",1,"Other specified hearing loss, unspecified ear","Other specified hearing loss, unspecified ear"
"H919",0,"Unspecified hearing loss","Unspecified hearing loss"
