"icd_10_cm","valid_flag","short_description","long_description"
"T503X1S",1,"Poisn by electrolytic/caloric/wtr-bal agnt, acc, sequela","Poisoning by electrolytic, caloric and water-balance agents, accidental (unintentional), sequela"
"T503X2",0,"Poisoning by electrolytic/caloric/wtr-bal agnt, self-harm","Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm"
"T503X2A",1,"Poisn by electrolytic/caloric/wtr-bal agnt, self-harm, init","Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, initial encounter"
"T503X2D",1,"Poisn by electrolytic/caloric/wtr-bal agnt, self-harm, subs","Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, subsequent encounter"
"T503X2S",1,"Poisn by electrolytic/caloric/wtr-bal agnt, slf-hrm, sequela","Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, sequela"
"T503X3",0,"Poisoning by electrolytic/caloric/wtr-bal agnt, assault","Poisoning by electrolytic, caloric and water-balance agents, assault"
"T503X3A",1,"Poisn by electrolytic/caloric/wtr-bal agnt, assault, init","Poisoning by electrolytic, caloric and water-balance agents, assault, initial encounter"
"T503X3D",1,"Poisn by electrolytic/caloric/wtr-bal agnt, assault, subs","Poisoning by electrolytic, caloric and water-balance agents, assault, subsequent encounter"
"T503X3S",1,"Poisn by electrolytic/caloric/wtr-bal agnt, assault, sequela","Poisoning by electrolytic, caloric and water-balance agents, assault, sequela"
"T503X4",0,"Poisoning by electrolytic/caloric/wtr-bal agnt, undetermined","Poisoning by electrolytic, caloric and water-balance agents, undetermined"
"T503X4A",1,"Poisoning by electrolytic/caloric/wtr-bal agnt, undet, init","Poisoning by electrolytic, caloric and water-balance agents, undetermined, initial encounter"
"T503X4D",1,"Poisoning by electrolytic/caloric/wtr-bal agnt, undet, subs","Poisoning by electrolytic, caloric and water-balance agents, undetermined, subsequent encounter"
"T503X4S",1,"Poisn by electrolytic/caloric/wtr-bal agnt, undet, sequela","Poisoning by electrolytic, caloric and water-balance agents, undetermined, sequela"
"T503X5",0,"Adverse effect of electrolytic/caloric/wtr-bal agnt","Adverse effect of electrolytic, caloric and water-balance agents"
"T503X5A",1,"Adverse effect of electrolytic/caloric/wtr-bal agnt, init","Adverse effect of electrolytic, caloric and water-balance agents, initial encounter"
"T503X5D",1,"Adverse effect of electrolytic/caloric/wtr-bal agnt, subs","Adverse effect of electrolytic, caloric and water-balance agents, subsequent encounter"
"T503X5S",1,"Adverse effect of electrolytic/caloric/wtr-bal agnt, sequela","Adverse effect of electrolytic, caloric and water-balance agents, sequela"
"T503X6",0,"Underdosing of electrolytic/caloric/wtr-bal agnt","Underdosing of electrolytic, caloric and water-balance agents"
"T503X6A",1,"Underdosing of electrolytic/caloric/wtr-bal agnt, init","Underdosing of electrolytic, caloric and water-balance agents, initial encounter"
"T503X6D",1,"Underdosing of electrolytic/caloric/wtr-bal agnt, subs","Underdosing of electrolytic, caloric and water-balance agents, subsequent encounter"
"T503X6S",1,"Underdosing of electrolytic/caloric/wtr-bal agnt, sequela","Underdosing of electrolytic, caloric and water-balance agents, sequela"
"T504",0,"Drugs affecting uric acid metabolism","Poisoning by, adverse effect of and underdosing of drugs affecting uric acid metabolism"
"T504X",0,"Drugs affecting uric acid metabolism","Poisoning by, adverse effect of and underdosing of drugs affecting uric acid metabolism"
"T504X1",0,"Poisoning by drugs affecting uric acid metabolism, acc","Poisoning by drugs affecting uric acid metabolism, accidental (unintentional)"
"T504X1A",1,"Poisoning by drugs affecting uric acid metab, acc, init","Poisoning by drugs affecting uric acid metabolism, accidental (unintentional), initial encounter"
"T504X1D",1,"Poisoning by drugs affecting uric acid metab, acc, subs","Poisoning by drugs affecting uric acid metabolism, accidental (unintentional), subsequent encounter"
"T504X1S",1,"Poisoning by drugs affecting uric acid metab, acc, sequela","Poisoning by drugs affecting uric acid metabolism, accidental (unintentional), sequela"
"T504X2",0,"Poisoning by drugs affecting uric acid metabolism, self-harm","Poisoning by drugs affecting uric acid metabolism, intentional self-harm"
"T504X2A",1,"Poisoning by drugs aff uric acid metab, self-harm, init","Poisoning by drugs affecting uric acid metabolism, intentional self-harm, initial encounter"
"T504X2D",1,"Poisoning by drugs aff uric acid metab, self-harm, subs","Poisoning by drugs affecting uric acid metabolism, intentional self-harm, subsequent encounter"
"T504X2S",1,"Poisoning by drugs aff uric acid metab, self-harm, sequela","Poisoning by drugs affecting uric acid metabolism, intentional self-harm, sequela"
"T504X3",0,"Poisoning by drugs affecting uric acid metabolism, assault","Poisoning by drugs affecting uric acid metabolism, assault"
"T504X3A",1,"Poisoning by drugs affecting uric acid metab, assault, init","Poisoning by drugs affecting uric acid metabolism, assault, initial encounter"
"T504X3D",1,"Poisoning by drugs affecting uric acid metab, assault, subs","Poisoning by drugs affecting uric acid metabolism, assault, subsequent encounter"
"T504X3S",1,"Poisoning by drugs aff uric acid metab, assault, sequela","Poisoning by drugs affecting uric acid metabolism, assault, sequela"
"T504X4",0,"Poisoning by drugs affecting uric acid metabolism, undet","Poisoning by drugs affecting uric acid metabolism, undetermined"
"T504X4A",1,"Poisoning by drugs affecting uric acid metab, undet, init","Poisoning by drugs affecting uric acid metabolism, undetermined, initial encounter"
"T504X4D",1,"Poisoning by drugs affecting uric acid metab, undet, subs","Poisoning by drugs affecting uric acid metabolism, undetermined, subsequent encounter"
"T504X4S",1,"Poisoning by drugs affecting uric acid metab, undet, sequela","Poisoning by drugs affecting uric acid metabolism, undetermined, sequela"
"T504X5",0,"Adverse effect of drugs affecting uric acid metabolism","Adverse effect of drugs affecting uric acid metabolism"
"T504X5A",1,"Adverse effect of drugs affecting uric acid metabolism, init","Adverse effect of drugs affecting uric acid metabolism, initial encounter"
"T504X5D",1,"Adverse effect of drugs affecting uric acid metabolism, subs","Adverse effect of drugs affecting uric acid metabolism, subsequent encounter"
"T504X5S",1,"Adverse effect of drugs affecting uric acid metab, sequela","Adverse effect of drugs affecting uric acid metabolism, sequela"
"T504X6",0,"Underdosing of drugs affecting uric acid metabolism","Underdosing of drugs affecting uric acid metabolism"
"T504X6A",1,"Underdosing of drugs affecting uric acid metabolism, init","Underdosing of drugs affecting uric acid metabolism, initial encounter"
"T504X6D",1,"Underdosing of drugs affecting uric acid metabolism, subs","Underdosing of drugs affecting uric acid metabolism, subsequent encounter"
"T504X6S",1,"Underdosing of drugs affecting uric acid metabolism, sequela","Underdosing of drugs affecting uric acid metabolism, sequela"
"T505",0,"Appetite depressants","Poisoning by, adverse effect of and underdosing of appetite depressants"
"T505X",0,"Appetite depressants","Poisoning by, adverse effect of and underdosing of appetite depressants"
"T505X1",0,"Poisoning by appetite depressants, accidental","Poisoning by appetite depressants, accidental (unintentional)"
"T505X1A",1,"Poisoning by appetite depressants, accidental, init","Poisoning by appetite depressants, accidental (unintentional), initial encounter"
"T505X1D",1,"Poisoning by appetite depressants, accidental, subs","Poisoning by appetite depressants, accidental (unintentional), subsequent encounter"
"T505X1S",1,"Poisoning by appetite depressants, accidental, sequela","Poisoning by appetite depressants, accidental (unintentional), sequela"
"T505X2",0,"Poisoning by appetite depressants, intentional self-harm","Poisoning by appetite depressants, intentional self-harm"
"T505X2A",1,"Poisoning by appetite depressants, self-harm, init","Poisoning by appetite depressants, intentional self-harm, initial encounter"
"T505X2D",1,"Poisoning by appetite depressants, self-harm, subs","Poisoning by appetite depressants, intentional self-harm, subsequent encounter"
"T505X2S",1,"Poisoning by appetite depressants, self-harm, sequela","Poisoning by appetite depressants, intentional self-harm, sequela"
"T505X3",0,"Poisoning by appetite depressants, assault","Poisoning by appetite depressants, assault"
"T505X3A",1,"Poisoning by appetite depressants, assault, init encntr","Poisoning by appetite depressants, assault, initial encounter"
"T505X3D",1,"Poisoning by appetite depressants, assault, subs encntr","Poisoning by appetite depressants, assault, subsequent encounter"
"T505X3S",1,"Poisoning by appetite depressants, assault, sequela","Poisoning by appetite depressants, assault, sequela"
"T505X4",0,"Poisoning by appetite depressants, undetermined","Poisoning by appetite depressants, undetermined"
"T505X4A",1,"Poisoning by appetite depressants, undetermined, init encntr","Poisoning by appetite depressants, undetermined, initial encounter"
"T505X4D",1,"Poisoning by appetite depressants, undetermined, subs encntr","Poisoning by appetite depressants, undetermined, subsequent encounter"
"T505X4S",1,"Poisoning by appetite depressants, undetermined, sequela","Poisoning by appetite depressants, undetermined, sequela"
"T505X5",0,"Adverse effect of appetite depressants","Adverse effect of appetite depressants"
"T505X5A",1,"Adverse effect of appetite depressants, initial encounter","Adverse effect of appetite depressants, initial encounter"
"T505X5D",1,"Adverse effect of appetite depressants, subsequent encounter","Adverse effect of appetite depressants, subsequent encounter"
"T505X5S",1,"Adverse effect of appetite depressants, sequela","Adverse effect of appetite depressants, sequela"
"T505X6",0,"Underdosing of appetite depressants","Underdosing of appetite depressants"
"T505X6A",1,"Underdosing of appetite depressants, initial encounter","Underdosing of appetite depressants, initial encounter"
"T505X6D",1,"Underdosing of appetite depressants, subsequent encounter","Underdosing of appetite depressants, subsequent encounter"
"T505X6S",1,"Underdosing of appetite depressants, sequela","Underdosing of appetite depressants, sequela"
"T506",0,"Antidotes and chelating agents","Poisoning by, adverse effect of and underdosing of antidotes and chelating agents"
"T506X",0,"Antidotes and chelating agents","Poisoning by, adverse effect of and underdosing of antidotes and chelating agents"
"T506X1",0,"Poisoning by antidotes and chelating agents, accidental","Poisoning by antidotes and chelating agents, accidental (unintentional)"
"T506X1A",1,"Poisoning by antidotes and chelating agents, acc, init","Poisoning by antidotes and chelating agents, accidental (unintentional), initial encounter"
"T506X1D",1,"Poisoning by antidotes and chelating agents, acc, subs","Poisoning by antidotes and chelating agents, accidental (unintentional), subsequent encounter"
"T506X1S",1,"Poisoning by antidotes and chelating agents, acc, sequela","Poisoning by antidotes and chelating agents, accidental (unintentional), sequela"
"T506X2",0,"Poisoning by antidotes and chelating agents, self-harm","Poisoning by antidotes and chelating agents, intentional self-harm"
"T506X2A",1,"Poisoning by antidotes and chelating agents, self-harm, init","Poisoning by antidotes and chelating agents, intentional self-harm, initial encounter"
"T506X2D",1,"Poisoning by antidotes and chelating agents, self-harm, subs","Poisoning by antidotes and chelating agents, intentional self-harm, subsequent encounter"
"T506X2S",1,"Poisn by antidotes and chelating agents, self-harm, sequela","Poisoning by antidotes and chelating agents, intentional self-harm, sequela"
"T506X3",0,"Poisoning by antidotes and chelating agents, assault","Poisoning by antidotes and chelating agents, assault"
"T506X3A",1,"Poisoning by antidotes and chelating agents, assault, init","Poisoning by antidotes and chelating agents, assault, initial encounter"
"T506X3D",1,"Poisoning by antidotes and chelating agents, assault, subs","Poisoning by antidotes and chelating agents, assault, subsequent encounter"
"T506X3S",1,"Poisn by antidotes and chelating agents, assault, sequela","Poisoning by antidotes and chelating agents, assault, sequela"
"T506X4",0,"Poisoning by antidotes and chelating agents, undetermined","Poisoning by antidotes and chelating agents, undetermined"
"T506X4A",1,"Poisoning by antidotes and chelating agents, undet, init","Poisoning by antidotes and chelating agents, undetermined, initial encounter"
"T506X4D",1,"Poisoning by antidotes and chelating agents, undet, subs","Poisoning by antidotes and chelating agents, undetermined, subsequent encounter"
"T506X4S",1,"Poisoning by antidotes and chelating agents, undet, sequela","Poisoning by antidotes and chelating agents, undetermined, sequela"
"T506X5",0,"Adverse effect of antidotes and chelating agents","Adverse effect of antidotes and chelating agents"
"T506X5A",1,"Adverse effect of antidotes and chelating agents, init","Adverse effect of antidotes and chelating agents, initial encounter"
"T506X5D",1,"Adverse effect of antidotes and chelating agents, subs","Adverse effect of antidotes and chelating agents, subsequent encounter"
"T506X5S",1,"Adverse effect of antidotes and chelating agents, sequela","Adverse effect of antidotes and chelating agents, sequela"
"T506X6",0,"Underdosing of antidotes and chelating agents","Underdosing of antidotes and chelating agents"
"T506X6A",1,"Underdosing of antidotes and chelating agents, init encntr","Underdosing of antidotes and chelating agents, initial encounter"
"T506X6D",1,"Underdosing of antidotes and chelating agents, subs encntr","Underdosing of antidotes and chelating agents, subsequent encounter"
"T506X6S",1,"Underdosing of antidotes and chelating agents, sequela","Underdosing of antidotes and chelating agents, sequela"
"T507",0,"Analeptics and opioid receptor antagonists","Poisoning by, adverse effect of and underdosing of analeptics and opioid receptor antagonists"
"T507X",0,"Analeptics and opioid receptor antagonists","Poisoning by, adverse effect of and underdosing of analeptics and opioid receptor antagonists"
"T507X1",0,"Poisoning by analeptics and opioid receptor antag, acc","Poisoning by analeptics and opioid receptor antagonists, accidental (unintentional)"
"T507X1A",1,"Poisn by analeptics and opioid receptor antag, acc, init","Poisoning by analeptics and opioid receptor antagonists, accidental (unintentional), initial encounter"
"T507X1D",1,"Poisn by analeptics and opioid receptor antag, acc, subs","Poisoning by analeptics and opioid receptor antagonists, accidental (unintentional), subsequent encounter"
"T507X1S",1,"Poisn by analeptics and opioid receptor antag, acc, sequela","Poisoning by analeptics and opioid receptor antagonists, accidental (unintentional), sequela"
"T507X2",0,"Poisoning by analeptics and opioid receptor antag, self-harm","Poisoning by analeptics and opioid receptor antagonists, intentional self-harm"
"T507X2A",1,"Poisn by analeptics and opioid receptor antag, slf-hrm, init","Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter"
"T507X2D",1,"Poisn by analeptics and opioid receptor antag, slf-hrm, subs","Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, subsequent encounter"
"T507X2S",1,"Poisn by analeptics and opioid receptor antag, slf-hrm, sqla","Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, sequela"
"T507X3",0,"Poisoning by analeptics and opioid receptor antag, assault","Poisoning by analeptics and opioid receptor antagonists, assault"
"T507X3A",1,"Poisn by analeptics and opioid receptor antag, assault, init","Poisoning by analeptics and opioid receptor antagonists, assault, initial encounter"
"T507X3D",1,"Poisn by analeptics and opioid receptor antag, assault, subs","Poisoning by analeptics and opioid receptor antagonists, assault, subsequent encounter"
"T507X3S",1,"Poisn by analeptics and opioid receptor antag, asslt, sqla","Poisoning by analeptics and opioid receptor antagonists, assault, sequela"
"T507X4",0,"Poisoning by analeptics and opioid receptor antag, undet","Poisoning by analeptics and opioid receptor antagonists, undetermined"
"T507X4A",1,"Poisn by analeptics and opioid receptor antag, undet, init","Poisoning by analeptics and opioid receptor antagonists, undetermined, initial encounter"
"T507X4D",1,"Poisn by analeptics and opioid receptor antag, undet, subs","Poisoning by analeptics and opioid receptor antagonists, undetermined, subsequent encounter"
"T507X4S",1,"Poisn by analeptics and opioid receptor antag, undet, sqla","Poisoning by analeptics and opioid receptor antagonists, undetermined, sequela"
"T507X5",0,"Adverse effect of analeptics and opioid receptor antagonists","Adverse effect of analeptics and opioid receptor antagonists"
"T507X5A",1,"Adverse effect of analeptics and opioid receptor antag, init","Adverse effect of analeptics and opioid receptor antagonists, initial encounter"
"T507X5D",1,"Adverse effect of analeptics and opioid receptor antag, subs","Adverse effect of analeptics and opioid receptor antagonists, subsequent encounter"
"T507X5S",1,"Advrs effect of analeptics and opioid receptor antag, sqla","Adverse effect of analeptics and opioid receptor antagonists, sequela"
"T507X6",0,"Underdosing of analeptics and opioid receptor antagonists","Underdosing of analeptics and opioid receptor antagonists"
"T507X6A",1,"Underdosing of analeptics and opioid receptor antag, init","Underdosing of analeptics and opioid receptor antagonists, initial encounter"
"T507X6D",1,"Underdosing of analeptics and opioid receptor antag, subs","Underdosing of analeptics and opioid receptor antagonists, subsequent encounter"
"T507X6S",1,"Underdosing of analeptics and opioid receptor antag, sequela","Underdosing of analeptics and opioid receptor antagonists, sequela"
"T508",0,"Diagnostic agents","Poisoning by, adverse effect of and underdosing of diagnostic agents"
"T508X",0,"Diagnostic agents","Poisoning by, adverse effect of and underdosing of diagnostic agents"
"T508X1",0,"Poisoning by diagnostic agents, accidental (unintentional)","Poisoning by diagnostic agents, accidental (unintentional)"
"T508X1A",1,"Poisoning by diagnostic agents, accidental, init","Poisoning by diagnostic agents, accidental (unintentional), initial encounter"
"T508X1D",1,"Poisoning by diagnostic agents, accidental, subs","Poisoning by diagnostic agents, accidental (unintentional), subsequent encounter"
"T508X1S",1,"Poisoning by diagnostic agents, accidental, sequela","Poisoning by diagnostic agents, accidental (unintentional), sequela"
"T508X2",0,"Poisoning by diagnostic agents, intentional self-harm","Poisoning by diagnostic agents, intentional self-harm"
"T508X2A",1,"Poisoning by diagnostic agents, intentional self-harm, init","Poisoning by diagnostic agents, intentional self-harm, initial encounter"
"T508X2D",1,"Poisoning by diagnostic agents, intentional self-harm, subs","Poisoning by diagnostic agents, intentional self-harm, subsequent encounter"
"T508X2S",1,"Poisoning by diagnostic agents, self-harm, sequela","Poisoning by diagnostic agents, intentional self-harm, sequela"
"T508X3",0,"Poisoning by diagnostic agents, assault","Poisoning by diagnostic agents, assault"
"T508X3A",1,"Poisoning by diagnostic agents, assault, initial encounter","Poisoning by diagnostic agents, assault, initial encounter"
"T508X3D",1,"Poisoning by diagnostic agents, assault, subs encntr","Poisoning by diagnostic agents, assault, subsequent encounter"
"T508X3S",1,"Poisoning by diagnostic agents, assault, sequela","Poisoning by diagnostic agents, assault, sequela"
"T508X4",0,"Poisoning by diagnostic agents, undetermined","Poisoning by diagnostic agents, undetermined"
"T508X4A",1,"Poisoning by diagnostic agents, undetermined, init encntr","Poisoning by diagnostic agents, undetermined, initial encounter"
"T508X4D",1,"Poisoning by diagnostic agents, undetermined, subs encntr","Poisoning by diagnostic agents, undetermined, subsequent encounter"
"T508X4S",1,"Poisoning by diagnostic agents, undetermined, sequela","Poisoning by diagnostic agents, undetermined, sequela"
"T508X5",0,"Adverse effect of diagnostic agents","Adverse effect of diagnostic agents"
"T508X5A",1,"Adverse effect of diagnostic agents, initial encounter","Adverse effect of diagnostic agents, initial encounter"
"T508X5D",1,"Adverse effect of diagnostic agents, subsequent encounter","Adverse effect of diagnostic agents, subsequent encounter"
"T508X5S",1,"Adverse effect of diagnostic agents, sequela","Adverse effect of diagnostic agents, sequela"
"T508X6",0,"Underdosing of diagnostic agents","Underdosing of diagnostic agents"
"T508X6A",1,"Underdosing of diagnostic agents, initial encounter","Underdosing of diagnostic agents, initial encounter"
"T508X6D",1,"Underdosing of diagnostic agents, subsequent encounter","Underdosing of diagnostic agents, subsequent encounter"
"T508X6S",1,"Underdosing of diagnostic agents, sequela","Underdosing of diagnostic agents, sequela"
"T50A",0,"Bacterial vaccines","Poisoning by, adverse effect of and underdosing of bacterial vaccines"
"T50A1",0,"Pertussis vaccine, including combinations w pertuss","Poisoning by, adverse effect of and underdosing of pertussis vaccine, including combinations with a pertussis component"
"T50A11",0,"Poisoning by pertussis vaccine, inc combin w pertuss, acc","Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional)"
"T50A11A",1,"Poisn by pertuss vaccine, inc combin w pertuss, acc, init","Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional), initial encounter"
"T50A11D",1,"Poisn by pertuss vaccine, inc combin w pertuss, acc, subs","Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional), subsequent encounter"
"T50A11S",1,"Poisn by pertuss vaccine, inc combin w pertuss, acc, sqla","Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional), sequela"
"T50A12",0,"Poisn by pertuss vaccine, inc combin w pertuss, self-harm","Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm"
"T50A12A",1,"Poisn by pertuss vaccn, inc combin w pertuss, slf-hrm, init","Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, initial encounter"
"T50A12D",1,"Poisn by pertuss vaccn, inc combin w pertuss, slf-hrm, subs","Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, subsequent encounter"
"T50A12S",1,"Poisn by pertuss vaccn, inc combin w pertuss, slf-hrm, sqla","Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, sequela"
"T50A13",0,"Poisoning by pertuss vaccine, inc combin w pertuss, assault","Poisoning by pertussis vaccine, including combinations with a pertussis component, assault"
"T50A13A",1,"Poisn by pertuss vaccine, inc combin w pertuss, asslt, init","Poisoning by pertussis vaccine, including combinations with a pertussis component, assault, initial encounter"
"T50A13D",1,"Poisn by pertuss vaccine, inc combin w pertuss, asslt, subs","Poisoning by pertussis vaccine, including combinations with a pertussis component, assault, subsequent encounter"
"T50A13S",1,"Poisn by pertuss vaccine, inc combin w pertuss, asslt, sqla","Poisoning by pertussis vaccine, including combinations with a pertussis component, assault, sequela"
"T50A14",0,"Poisoning by pertussis vaccine, inc combin w pertuss, undet","Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined"
"T50A14A",1,"Poisn by pertuss vaccine, inc combin w pertuss, undet, init","Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, initial encounter"
"T50A14D",1,"Poisn by pertuss vaccine, inc combin w pertuss, undet, subs","Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, subsequent encounter"
"T50A14S",1,"Poisn by pertuss vaccine, inc combin w pertuss, undet, sqla","Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, sequela"
"T50A15",0,"Adverse effect of pertussis vaccine, inc combin w pertuss","Adverse effect of pertussis vaccine, including combinations with a pertussis component"
"T50A15A",1,"Advrs effect of pertuss vaccine, inc combin w pertuss, init","Adverse effect of pertussis vaccine, including combinations with a pertussis component, initial encounter"
"T50A15D",1,"Advrs effect of pertuss vaccine, inc combin w pertuss, subs","Adverse effect of pertussis vaccine, including combinations with a pertussis component, subsequent encounter"
"T50A15S",1,"Advrs effect of pertuss vaccine, inc combin w pertuss, sqla","Adverse effect of pertussis vaccine, including combinations with a pertussis component, sequela"
"T50A16",0,"Underdosing of pertussis vaccine, including combin w pertuss","Underdosing of pertussis vaccine, including combinations with a pertussis component"
"T50A16A",1,"Undrdose of pertussis vaccine, inc combin w pertuss, init","Underdosing of pertussis vaccine, including combinations with a pertussis component, initial encounter"
"T50A16D",1,"Undrdose of pertussis vaccine, inc combin w pertuss, subs","Underdosing of pertussis vaccine, including combinations with a pertussis component, subsequent encounter"
"T50A16S",1,"Undrdose of pertussis vaccine, inc combin w pertuss, sequela","Underdosing of pertussis vaccine, including combinations with a pertussis component, sequela"
"T50A2",0,"Mixed bacterial vaccines without a pertussis component","Poisoning by, adverse effect of and underdosing of mixed bacterial vaccines without a pertussis component"
"T50A21",0,"Poisoning by mixed bacterial vaccines w/o a pertuss, acc","Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional)"
"T50A21A",1,"Poisoning by mixed bact vaccines w/o a pertuss, acc, init","Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional), initial encounter"
"T50A21D",1,"Poisoning by mixed bact vaccines w/o a pertuss, acc, subs","Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional), subsequent encounter"
"T50A21S",1,"Poisn by mixed bact vaccines w/o a pertuss, acc, sequela","Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional), sequela"
"T50A22",0,"Poisoning by mixed bact vaccines w/o a pertuss, self-harm","Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm"
"T50A22A",1,"Poisn by mixed bact vaccines w/o a pertuss, self-harm, init","Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, initial encounter"
"T50A22D",1,"Poisn by mixed bact vaccines w/o a pertuss, self-harm, subs","Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, subsequent encounter"
"T50A22S",1,"Poisn by mixed bact vaccines w/o a pertuss, slf-hrm, sequela","Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, sequela"
"T50A23",0,"Poisoning by mixed bacterial vaccines w/o a pertuss, assault","Poisoning by mixed bacterial vaccines without a pertussis component, assault"
"T50A23A",1,"Poisn by mixed bact vaccines w/o a pertuss, assault, init","Poisoning by mixed bacterial vaccines without a pertussis component, assault, initial encounter"
"T50A23D",1,"Poisn by mixed bact vaccines w/o a pertuss, assault, subs","Poisoning by mixed bacterial vaccines without a pertussis component, assault, subsequent encounter"
"T50A23S",1,"Poisn by mixed bact vaccines w/o a pertuss, assault, sequela","Poisoning by mixed bacterial vaccines without a pertussis component, assault, sequela"
"T50A24",0,"Poisoning by mixed bacterial vaccines w/o a pertuss, undet","Poisoning by mixed bacterial vaccines without a pertussis component, undetermined"
"T50A24A",1,"Poisoning by mixed bact vaccines w/o a pertuss, undet, init","Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, initial encounter"
"T50A24D",1,"Poisoning by mixed bact vaccines w/o a pertuss, undet, subs","Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, subsequent encounter"
"T50A24S",1,"Poisn by mixed bact vaccines w/o a pertuss, undet, sequela","Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, sequela"
"T50A25",0,"Adverse effect of mixed bacterial vaccines w/o a pertuss","Adverse effect of mixed bacterial vaccines without a pertussis component"
"T50A25A",1,"Adverse effect of mixed bact vaccines w/o a pertuss, init","Adverse effect of mixed bacterial vaccines without a pertussis component, initial encounter"
"T50A25D",1,"Adverse effect of mixed bact vaccines w/o a pertuss, subs","Adverse effect of mixed bacterial vaccines without a pertussis component, subsequent encounter"
"T50A25S",1,"Adverse effect of mixed bact vaccines w/o a pertuss, sequela","Adverse effect of mixed bacterial vaccines without a pertussis component, sequela"
"T50A26",0,"Underdosing of mixed bacterial vaccines w/o a pertuss","Underdosing of mixed bacterial vaccines without a pertussis component"
"T50A26A",1,"Underdosing of mixed bacterial vaccines w/o a pertuss, init","Underdosing of mixed bacterial vaccines without a pertussis component, initial encounter"
"T50A26D",1,"Underdosing of mixed bacterial vaccines w/o a pertuss, subs","Underdosing of mixed bacterial vaccines without a pertussis component, subsequent encounter"
"T50A26S",1,"Undrdose of mixed bacterial vaccines w/o a pertuss, sequela","Underdosing of mixed bacterial vaccines without a pertussis component, sequela"
"T50A9",0,"Bacterial vaccines","Poisoning by, adverse effect of and underdosing of other bacterial vaccines"
"T50A91",0,"Poisoning by oth bacterial vaccines, accidental","Poisoning by other bacterial vaccines, accidental (unintentional)"
"T50A91A",1,"Poisoning by oth bacterial vaccines, accidental, init","Poisoning by other bacterial vaccines, accidental (unintentional), initial encounter"
"T50A91D",1,"Poisoning by oth bacterial vaccines, accidental, subs","Poisoning by other bacterial vaccines, accidental (unintentional), subsequent encounter"
"T50A91S",1,"Poisoning by oth bacterial vaccines, accidental, sequela","Poisoning by other bacterial vaccines, accidental (unintentional), sequela"
"T50A92",0,"Poisoning by other bacterial vaccines, intentional self-harm","Poisoning by other bacterial vaccines, intentional self-harm"
"T50A92A",1,"Poisoning by oth bacterial vaccines, self-harm, init","Poisoning by other bacterial vaccines, intentional self-harm, initial encounter"
"T50A92D",1,"Poisoning by oth bacterial vaccines, self-harm, subs","Poisoning by other bacterial vaccines, intentional self-harm, subsequent encounter"
"T50A92S",1,"Poisoning by oth bacterial vaccines, self-harm, sequela","Poisoning by other bacterial vaccines, intentional self-harm, sequela"
"T50A93",0,"Poisoning by other bacterial vaccines, assault","Poisoning by other bacterial vaccines, assault"
"T50A93A",1,"Poisoning by other bacterial vaccines, assault, init encntr","Poisoning by other bacterial vaccines, assault, initial encounter"
"T50A93D",1,"Poisoning by other bacterial vaccines, assault, subs encntr","Poisoning by other bacterial vaccines, assault, subsequent encounter"
"T50A93S",1,"Poisoning by other bacterial vaccines, assault, sequela","Poisoning by other bacterial vaccines, assault, sequela"
"T50A94",0,"Poisoning by other bacterial vaccines, undetermined","Poisoning by other bacterial vaccines, undetermined"
"T50A94A",1,"Poisoning by oth bacterial vaccines, undetermined, init","Poisoning by other bacterial vaccines, undetermined, initial encounter"
"T50A94D",1,"Poisoning by oth bacterial vaccines, undetermined, subs","Poisoning by other bacterial vaccines, undetermined, subsequent encounter"
